EXPLORE TRANSPORT INC,175,WILL-ANDE,06/15/2015,06/16/2015,51938,459.00,CEDAR RAPIDS, IA,BROWNSBURG, IN
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/17/2015,06/18/2015,52025,635.00,PLAINFIELD, IN,POTTSVILLE, PA
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/18/2015,06/19/2015,52082,353.00,HOWARD, PA,SYRACUSE, NY
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/19/2015,06/22/2015,52126,954.00,OSWEGO, NY,WAVERLY, TN
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/22/2015,06/23/2015,52231,621.00,MADISON, TN,CHARLESTON, SC
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/23/2015,06/24/2015,52257,551.00,SUMMERVILLE, SC,MOORE HAVEN, FL
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/24/2015,06/25/2015,52332,431.00,LAKELAND, FL,ARABI, GA
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/25/2015,06/26/2015,52333,628.00,ASHBURN, GA,EDENTON, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/27/2015,06/29/2015,52335,598.00,BENSON, NC,CORDELE, GA
EXPLORE TRANSPORT INC,175,WILL-ANDE,06/29/2015,06/30/2015,52434,336.00,FITZGERALD, GA,ORLANDO, FL
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/08/2015,07/09/2015,52641,527.00,JACKSONVILLE, FL,MONTGOMERY, AL
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/20/2015,07/21/2015,52886,727.00,VALDOSTA, GA,LINWOOD, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/21/2015,07/22/2015,52949,712.00,LEXINGTON, NC,BLOOMFIELD, CT
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/22/2015,07/23/2015,52958,899.00,ELIZABETH, NJ,CHARLESTON, SC
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/24/2015,07/27/2015,53050,891.00,CHARLESTON, SC,NOVI, MI
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/27/2015,07/28/2015,53065,582.00,WYANDOTTE, MI,ROANOKE, VA
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/28/2015,07/29/2015,53133,441.00,CLIFTON FORGE, VA,FLORENCE, KY
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/29/2015,07/30/2015,53134,443.00,LOUISVILLE, KY,KENNETT, MO
EXPLORE TRANSPORT INC,175,WILL-ANDE,07/31/2015,08/03/2015,53193,1175.00,WEST PLAINS, MO,EDGEWOOD, MD
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/03/2015,08/03/2015,53203,76.00,FREDERICK, MD,FREDERICK, MD
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/03/2015,08/04/2015,53217,553.00,HAGERSTOWN, MD,E TAUNTON, MA
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/04/2015,08/05/2015,53272,782.00,MILFORD, MA,GREENSBORO, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/05/2015,08/07/2015,53348,929.00,RIDGEWAY, VA,SHEBOYGAN, WI
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/07/2015,08/10/2015,53387,1434.00,APPLETON, WI,HOUSTON, TX
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/11/2015,08/13/2015,53532,971.00,PASADENA, TX,WELLFORD, SC
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/15/2015,08/16/2015,53638,934.00,ATLANTA, GA,ELK GROVE VILLAGE, IL
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/17/2015,08/19/2015,53639,1298.00,KENOSHA, WI,ORLANDO, FL
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/27/2015,08/28/2015,53909,648.00,DAVENPORT, FL,BIRMINGHAM, AL
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/28/2015,08/31/2015,53948,904.00,CULLMAN, AL,MILTON, DE
EXPLORE TRANSPORT INC,175,WILL-ANDE,08/31/2015,09/01/2015,53975,748.00,SELBYVILLE, DE,INDIANAPOLIS, IN
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/02/2015,09/03/2015,54038,700.00,ALEXANDRIA, IN,ZEBULON, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/05/2015,09/05/2015,54063,209.00,WILSON, NC,WILLIAMSBURG, VA
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/06/2015,09/08/2015,54072,1172.00,WINSTON SALEM, NC,LASALLE, PQ
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/09/2015,09/10/2015,54128,881.00,PLATTSBURGH, NY,GARNER, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/10/2015,09/12/2015,54158,673.00,WINSTON SALEM, NC,HILLSIDE, NJ
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/13/2015,09/14/2015,54194,933.00,NEW YORK, NY,LITHIA SPRINGS, GA
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/14/2015,09/15/2015,54237,215.00,NEWNAN, GA,STATESBORO, GA
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/15/2015,09/16/2015,54250,466.00,ATLANTA, GA,NASHVILLE, TN
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/16/2015,09/17/2015,54348,546.00,HOPKINSVILLE, KY,STERLING HEIGHTS, MI
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/17/2015,09/21/2015,54349,1673.00,WARREN, MI,SALT LK CY, UT
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/21/2015,09/23/2015,54412,559.00,SALT LAKE CITY, UT,BILLINGS, MT
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/24/2015,09/28/2015,54508,2197.00,GREAT FALLS, MT,BUFFALO, NY
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/28/2015,09/29/2015,54519,395.00,BUFFALO, NY,HANOVER, MD
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/29/2015,09/30/2015,54552,316.00,NOTTINGHAM, MD,FRANKLINTON, NC
EXPLORE TRANSPORT INC,175,WILL-ANDE,09/30/2015,10/01/2015,54635,721.00,TARBORO, NC,NORTH CLARENDON, VT
EXPLORE TRANSPORT INC,175,WILL-ANDE,10/01/2015,10/02/2015,54653,598.00,PITTSFORD, VT,RICHMOND, VA
